effort_ba_pm,effort_dev_pm,effort_planner_pm,id,name,parent_summary,priority,required_skillsets_ba,required_skillsets_dev,required_skillsets_planner
0,0.5,0,IT-146,Financial System Automation,Operational Efficiency Program,1,,billing-systems,
2,3,1,IT-116,Third-Party Integration Hub,Channel Growth Initiative,2,,back-end,
5,8,2,IT-125,Service Catalog Redesign,Product Strategy Initiative,3,,back-end;front-end,
0,2,0,IT-35,Database Redundancy Setup,Infrastructure Modernization,4,,back-end,
0,1,0,IT-140,Master Data Cleanup,Cost Optimization Program,5,,back-end,
5,8,2,IT-123,User Experience Platform,Product Strategy Initiative,6,,back-end;front-end,
0,1,2,IT-32,Configuration Management Tool,Product Strategy Initiative,7,,back-end,
2,3,2,IT-124,Business Intelligence Dashboard,Product Strategy Initiative,8,,back-end;front-end,
3,2,1,IT-141,Compliance Monitoring System,Operational Efficiency Program,9,,back-end;front-end,
1,2,1.5,IT-80,Legacy System Integration,Operational Efficiency Program,10,,back-end,
0,0,1,IT-26,Workflow Automation Project,Operational Efficiency Program,11,,,
1,2,1,IT-126,Omnichannel Platform,Product Strategy Initiative,12,,back-end;front-end,
0,1,2,IT-77,API Governance Framework,Infrastructure Modernization,13,,back-end,
0,1,0,IT-103,Testing Tool Migration,Infrastructure Modernization,14,,back-end,
0,1.5,0.5,IT-144,Messaging Service Upgrade,Infrastructure Modernization,15,,back-end,
0.5,1.5,0,IT-143,ETL Pipeline Enhancement,Infrastructure Modernization,16,,back-end,
1.5,2,1,IT-142,Transaction Processing Update,Operational Efficiency Program,17,,back-end,
