effort_ba_pm,effort_dev_pm,effort_planner_pm,id,name,parent_summary,priority,required_skillsets_ba,required_skillsets_dev,required_skillsets_planner
1,2,1,P1,Billing Platform,Digital Transformation,1,,front-end;back-end,
1,1.6,0.5,P3,Customer Insights Dashboard,Data & Analytics,2,,sql,
0.6,1.8,0.7,P4,Incident Response Automation,Infrastructure Modernization,3,,,
0.5,1.1,0.6,P6,Procurement Workflow Tool,Procurement & Legal,4,,back-end,
0.9,2.5,1.0,P5,Subscription Billing Enhancements,Digital Transformation,5,,front-end;back-end,
0.8,1.9,0.9,P7,Partner API Integration,Platform Enablement,6,,,
0.4,1.0,0.6,P8,Sales CRM Data Cleanse,Sales Enablement,7,,,
0.5,1.0,0.3,P2,SSO Rollout,Infrastructure Modernization,8,,,
0.3,1.7,0.4,P9,Content Delivery Network Migration,Infrastructure Modernization,9,,,
0.6,1.2,0.7,P10,Finance Reporting Dashboard,Data & Analytics,10,,,
0.5,0.8,0.4,P11,Cloud Security Assessment,Governance & Compliance,11,,,
0.7,1.5,0.6,P12,Learning Management System Pilot,Employee Experience,12,,front-end,
0.8,2.3,1.0,P13,Product Catalog Revamp,Digital Transformation,13,,front-end;back-end,
0.6,1.2,0.8,P14,Vendor Risk Portal,Procurement & Legal,14,,back-end,
0.4,1.0,0.5,P15,Customer Feedback Analyzer,Data & Analytics,15,,,
0.9,1.8,0.6,P16,AI Knowledge Assistant Pilot,AI & Automation,16,,,
1.0,2.6,1.2,P17,Legacy ERP Data Migration,Systems Integration,17,,,
0.7,1.5,0.8,P18,Team Collaboration Hub,Employee Experience,18,,,
0.5,0.9,0.7,P19,Contract Renewal Tracker,Procurement & Legal,19,,back-end,
0.6,1.3,0.5,P20,Marketing Attribution Model,Data & Analytics,20,,,
0.6,1.4,0.8,P21,IT Asset Inventory Overhaul,Infrastructure Modernization,21,,,
